month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-05-01,JURONG WEST,5 ROOM,652B,JURONG WEST ST 61,13 TO 15,110.0,Improved,2002,470000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S6524505J
2015-05-01,JURONG WEST,5 ROOM,636,JURONG WEST ST 65,04 TO 06,110.0,Improved,2001,460000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S6364505J
2015-05-01,JURONG WEST,5 ROOM,662B,JURONG WEST ST 64,07 TO 09,110.0,Improved,2001,458000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S6624505J
2015-05-01,JURONG WEST,5 ROOM,653A,JURONG WEST ST 61,01 TO 03,111.0,Improved,2002,453000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,id_duplicate,S6534505J
2015-05-01,JURONG WEST,4 ROOM,273D,JURONG WEST AVE 3,13 TO 15,85.0,Model A2,2001,335000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S2733805J
2015-05-01,JURONG WEST,4 ROOM,414,JURONG WEST ST 42,01 TO 03,104.0,Model A,1984,338000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,id_duplicate,S4143805J
2015-05-01,JURONG WEST,4 ROOM,488,JURONG WEST AVE 1,10 TO 12,92.0,New Generation,1985,380000.0,Jan2015-Dec2016 (Registration),68.0,57,6,57 years 06 months,id_duplicate,S4883805J
2015-05-01,JURONG WEST,4 ROOM,552,JURONG WEST ST 42,04 TO 06,103.0,Model A,1984,374000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,id_duplicate,S5523805J
2015-05-01,CLEMENTI,3 ROOM,704,WEST COAST RD,04 TO 06,67.0,New Generation,1980,296000.0,Jan2015-Dec2016 (Registration),64.0,52,6,52 years 06 months,id_duplicate,S7043405C
2015-05-01,CLEMENTI,3 ROOM,703,WEST COAST RD,10 TO 12,67.0,New Generation,1980,288000.0,Jan2015-Dec2016 (Registration),64.0,52,6,52 years 06 months,id_duplicate,S7033405C
2015-05-01,CHOA CHU KANG,5 ROOM,643,CHOA CHU KANG ST 64,01 TO 03,123.0,Premium Apartment,1998,505000.0,Jan2015-Dec2016 (Registration),81.0,70,6,70 years 06 months,id_duplicate,S6434305C
2015-05-01,CHOA CHU KANG,5 ROOM,690A,CHOA CHU KANG CRES,22 TO 24,110.0,Improved,2003,416000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S6904305C
2015-05-01,CHOA CHU KANG,5 ROOM,425,CHOA CHU KANG AVE 4,04 TO 06,122.0,Improved,1992,416000.0,Jan2015-Dec2016 (Registration),76.0,64,6,64 years 06 months,id_duplicate,S4254305C
2015-05-01,CLEMENTI,4 ROOM,316,CLEMENTI AVE 4,01 TO 03,91.0,New Generation,1979,510000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,id_duplicate,S3165105C
2015-05-01,CLEMENTI,4 ROOM,301,CLEMENTI AVE 4,01 TO 03,92.0,New Generation,1979,480000.0,Jan2015-Dec2016 (Registration),62.0,51,6,51 years 06 months,id_duplicate,S3015105C
2015-05-01,CHOA CHU KANG,5 ROOM,690A,CHOA CHU KANG CRES,04 TO 06,110.0,Improved,2003,375000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,id_duplicate,S6904305C
2015-05-01,CHOA CHU KANG,4 ROOM,401,CHOA CHU KANG AVE 3,01 TO 03,103.0,Model A,1993,320000.0,Jan2015-Dec2016 (Registration),77.0,65,6,65 years 06 months,id_duplicate,S4013505C
2015-05-01,CHOA CHU KANG,4 ROOM,484B,CHOA CHU KANG AVE 5,01 TO 03,100.0,Model A,1999,310000.0,Jan2015-Dec2016 (Registration),82.0,71,6,71 years 06 months,id_duplicate,S4843505C
2015-05-01,CHOA CHU KANG,4 ROOM,157,JLN TECK WHYE,07 TO 09,91.0,Model A2,1998,341500.0,Jan2015-Dec2016 (Registration),81.0,70,6,70 years 06 months,id_duplicate,S1573505C
2015-05-01,HOUGANG,3 ROOM,328,HOUGANG AVE 5,07 TO 09,67.0,New Generation,1983,320000.0,Jan2015-Dec2016 (Registration),67.0,55,6,55 years 06 months,id_duplicate,S3283005H
2015-05-01,HOUGANG,3 ROOM,662,HOUGANG AVE 4,04 TO 06,74.0,Model A,1987,313888.0,Jan2015-Dec2016 (Registration),71.0,59,6,59 years 06 months,id_duplicate,S6623005H
2015-05-01,HOUGANG,4 ROOM,613,HOUGANG AVE 8,04 TO 06,84.0,Simplified,1986,368000.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,id_duplicate,S6133905H
2015-05-01,HOUGANG,4 ROOM,911,HOUGANG ST 91,10 TO 12,90.0,Model A2,1998,350000.0,Jan2015-Dec2016 (Registration),81.0,70,6,70 years 06 months,id_duplicate,S9113905H
2015-05-01,HOUGANG,3 ROOM,2,HOUGANG AVE 3,01 TO 03,59.0,Improved,1975,237000.0,Jan2015-Dec2016 (Registration),59.0,47,6,47 years 06 months,id_duplicate,S0023005H
2015-05-01,GEYLANG,3 ROOM,61,CIRCUIT RD,04 TO 06,61.0,Standard,1969,280000.0,Jan2015-Dec2016 (Registration),52.0,41,6,41 years 06 months,id_duplicate,S0613005G
2015-05-01,GEYLANG,3 ROOM,45,CIRCUIT RD,01 TO 03,52.0,Standard,1971,276000.0,Jan2015-Dec2016 (Registration),54.0,43,6,43 years 06 months,id_duplicate,S0453005G
2015-06-01,QUEENSTOWN,4 ROOM,52,STRATHMORE AVE,13 TO 15,90.0,Model A,2006,655000.0,Jan2015-Dec2016 (Registration),90.0,78,6,78 years 06 months,id_duplicate,S0526306Q
2015-06-01,SEMBAWANG,5 ROOM,313,SEMBAWANG DR,04 TO 06,120.0,Improved,1999,410000.0,Jan2015-Dec2016 (Registration),82.0,71,6,71 years 06 months,id_duplicate,S3134106S
2015-06-01,SEMBAWANG,5 ROOM,359C,ADMIRALTY DR,07 TO 09,110.0,Premium Apartment,2001,402500.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,id_duplicate,S3594106S
2015-06-01,SEMBAWANG,4 ROOM,487,ADMIRALTY LINK,10 TO 12,94.0,Model A,2010,385000.0,Jan2015-Dec2016 (Registration),94.0,82,6,82 years 06 months,id_duplicate,S4873706S
2015-06-01,SEMBAWANG,4 ROOM,466D,SEMBAWANG DR,16 TO 18,90.0,Premium Apartment,2006,378888.0,Jan2015-Dec2016 (Registration),89.0,78,6,78 years 06 months,id_duplicate,S4663706S
