month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,resale_price,source,remaining_lease,remaining_lease_years,remaining_lease_months,remaining_lease_computed,failure_reason,rid
2015-01-01,QUEENSTOWN,4 ROOM,168A,QUEENSWAY,19 TO 21,84.0,Improved,1974,463000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-01-01,SENGKANG,4 ROOM,273C,COMPASSVALE LINK,13 TO 15,90.0,Premium Apartment,2009,538000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,key_duplicate,
2015-01-01,KALLANG/WHAMPOA,3 ROOM,57,GEYLANG BAHRU,16 TO 18,65.0,Improved,1974,315000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-01-01,PUNGGOL,4 ROOM,302D,PUNGGOL PL,04 TO 06,93.0,Premium Apartment,2011,455000.0,Jan2015-Dec2016 (Registration),95.0,83,6,83 years 06 months,key_duplicate,
2015-01-01,PASIR RIS,4 ROOM,516,PASIR RIS ST 52,10 TO 12,106.0,Model A,1993,420000.0,Jan2015-Dec2016 (Registration),78.0,65,6,65 years 06 months,key_duplicate,
2015-01-01,WOODLANDS,5 ROOM,689D,WOODLANDS DR 75,10 TO 12,110.0,Premium Apartment,2004,440000.0,Jan2015-Dec2016 (Registration),88.0,76,6,76 years 06 months,key_duplicate,
2015-01-01,WOODLANDS,4 ROOM,577,WOODLANDS DR 16,01 TO 03,91.0,Model A,2000,340000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,key_duplicate,
2015-01-01,YISHUN,3 ROOM,712,YISHUN AVE 5,04 TO 06,68.0,New Generation,1984,275000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-01-01,YISHUN,3 ROOM,712,YISHUN AVE 5,10 TO 12,68.0,New Generation,1984,295000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-01-01,BEDOK,3 ROOM,709,BEDOK RESERVOIR RD,04 TO 06,68.0,New Generation,1981,288000.0,Jan2015-Dec2016 (Registration),65.0,53,6,53 years 06 months,key_duplicate,
2015-01-01,BISHAN,4 ROOM,264,BISHAN ST 24,07 TO 09,104.0,Model A,1992,475000.0,Jan2015-Dec2016 (Registration),76.0,64,6,64 years 06 months,key_duplicate,
2015-01-01,JURONG EAST,3 ROOM,102,JURONG EAST ST 13,07 TO 09,68.0,New Generation,1982,360000.0,Jan2015-Dec2016 (Registration),66.0,54,6,54 years 06 months,key_duplicate,
2015-01-01,HOUGANG,3 ROOM,328,HOUGANG AVE 5,10 TO 12,67.0,New Generation,1983,300000.0,Jan2015-Dec2016 (Registration),67.0,55,6,55 years 06 months,key_duplicate,
2015-01-01,JURONG WEST,5 ROOM,673B,JURONG WEST ST 65,13 TO 15,110.0,Improved,2002,450000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-01-01,GEYLANG,3 ROOM,25,EUNOS CRES,04 TO 06,59.0,Improved,1977,280000.0,Jan2015-Dec2016 (Registration),61.0,49,6,49 years 06 months,key_duplicate,
2015-02-01,SENGKANG,4 ROOM,264A,COMPASSVALE BOW,07 TO 09,92.0,Premium Apartment,2007,475000.0,Jan2015-Dec2016 (Registration),91.0,79,6,79 years 06 months,key_duplicate,
2015-02-01,SENGKANG,4 ROOM,295A,COMPASSVALE CRES,04 TO 06,90.0,Model A,2002,310999.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-02-01,SENGKANG,5 ROOM,323C,SENGKANG EAST WAY,04 TO 06,110.0,Improved,2003,478000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-02-01,TAMPINES,3 ROOM,403,TAMPINES ST 41,07 TO 09,69.0,Improved,1985,350000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-02-01,KALLANG/WHAMPOA,3 ROOM,57,GEYLANG BAHRU,16 TO 18,65.0,Improved,1974,306000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-02-01,BUKIT BATOK,3 ROOM,212,BT BATOK ST 21,01 TO 03,67.0,New Generation,1985,275000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-02-01,BISHAN,3 ROOM,110,BISHAN ST 12,04 TO 06,64.0,Simplified,1986,400000.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,key_duplicate,
2015-02-01,BEDOK,3 ROOM,529,BEDOK NTH ST 3,10 TO 12,68.0,New Generation,1979,300000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,key_duplicate,
2015-02-01,BEDOK,3 ROOM,419,BEDOK NTH ST 1,04 TO 06,68.0,New Generation,1979,328000.0,Jan2015-Dec2016 (Registration),62.0,51,6,51 years 06 months,key_duplicate,
2015-02-01,HOUGANG,EXECUTIVE,221,HOUGANG ST 21,04 TO 06,148.0,Maisonette,1992,750000.0,Jan2015-Dec2016 (Registration),76.0,64,6,64 years 06 months,key_duplicate,
2015-02-01,JURONG WEST,3 ROOM,120,HO CHING RD,04 TO 06,67.0,Improved,1972,271000.0,Jan2015-Dec2016 (Registration),55.0,44,6,44 years 06 months,key_duplicate,
2015-02-01,CENTRAL AREA,4 ROOM,1D,CANTONMENT RD,37 TO 39,95.0,Type S1,2011,866000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-02-01,CENTRAL AREA,4 ROOM,1E,CANTONMENT RD,25 TO 27,94.0,Type S1,2011,838000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-03-01,SENGKANG,5 ROOM,316A,ANCHORVALE LINK,07 TO 09,110.0,Premium Apartment,2003,435000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-03-01,SENGKANG,5 ROOM,268A,COMPASSVALE LINK,10 TO 12,111.0,Premium Apartment,2006,558000.0,Jan2015-Dec2016 (Registration),89.0,78,6,78 years 06 months,key_duplicate,
2015-03-01,SENGKANG,4 ROOM,439B,SENGKANG WEST AVE,04 TO 06,94.0,Model A,2011,402000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-03-01,SENGKANG,4 ROOM,209C,COMPASSVALE LANE,10 TO 12,92.0,Model A,2011,433000.0,Jan2015-Dec2016 (Registration),95.0,83,6,83 years 06 months,key_duplicate,
2015-03-01,PASIR RIS,4 ROOM,112,PASIR RIS ST 11,10 TO 12,103.0,Model A,1990,380000.0,Jan2015-Dec2016 (Registration),74.0,62,6,62 years 06 months,key_duplicate,
2015-03-01,PUNGGOL,4 ROOM,132,EDGEDALE PLAINS,13 TO 15,91.0,Premium Apartment,2003,363000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-03-01,TAMPINES,4 ROOM,731,TAMPINES ST 71,01 TO 03,104.0,Model A,1997,405000.0,Jan2015-Dec2016 (Registration),81.0,69,6,69 years 06 months,key_duplicate,
2015-03-01,SERANGOON,3 ROOM,323,SERANGOON AVE 3,07 TO 09,64.0,Simplified,1985,375000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-03-01,BUKIT BATOK,3 ROOM,313,BT BATOK ST 32,04 TO 06,68.0,New Generation,1986,290000.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,key_duplicate,
2015-03-01,BUKIT BATOK,3 ROOM,145,BT BATOK ST 11,04 TO 06,68.0,New Generation,1984,283000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-03-01,BUKIT BATOK,3 ROOM,333,BT BATOK ST 32,01 TO 03,64.0,Simplified,1987,263000.0,Jan2015-Dec2016 (Registration),71.0,59,6,59 years 06 months,key_duplicate,
2015-03-01,BUKIT BATOK,3 ROOM,421,BT BATOK WEST AVE 2,04 TO 06,68.0,New Generation,1988,255000.0,Jan2015-Dec2016 (Registration),72.0,60,6,60 years 06 months,key_duplicate,
2015-03-01,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,10 TO 12,67.0,New Generation,1985,318000.0,Jan2015-Dec2016 (Registration),68.0,57,6,57 years 06 months,key_duplicate,
2015-03-01,JURONG WEST,5 ROOM,653A,JURONG WEST ST 61,10 TO 12,110.0,Improved,2002,446000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-03-01,JURONG EAST,3 ROOM,253,JURONG EAST ST 24,04 TO 06,67.0,New Generation,1985,286000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-03-01,CHOA CHU KANG,4 ROOM,237,CHOA CHU KANG CTRL,01 TO 03,103.0,Model A,1990,345000.0,Jan2015-Dec2016 (Registration),74.0,62,6,62 years 06 months,key_duplicate,
2015-03-01,GEYLANG,4 ROOM,122,GEYLANG EAST CTRL,07 TO 09,91.0,New Generation,1982,465000.0,Jan2015-Dec2016 (Registration),66.0,54,6,54 years 06 months,key_duplicate,
2015-04-01,SEMBAWANG,4 ROOM,489,ADMIRALTY LINK,01 TO 03,94.0,Model A,2010,330000.0,Jan2015-Dec2016 (Registration),94.0,82,6,82 years 06 months,key_duplicate,
2015-04-01,SENGKANG,EXECUTIVE,302D,ANCHORVALE LINK,10 TO 12,130.0,Apartment,2001,590000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-04-01,SERANGOON,3 ROOM,147,SERANGOON NTH AVE 1,04 TO 06,64.0,Simplified,1988,270000.0,Jan2015-Dec2016 (Registration),72.0,60,6,60 years 06 months,key_duplicate,
2015-04-01,SERANGOON,4 ROOM,224,SERANGOON AVE 4,04 TO 06,91.0,New Generation,1984,408000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-04-01,PUNGGOL,5 ROOM,296,PUNGGOL CTRL,07 TO 09,110.0,Premium Apartment,2003,490000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-04-01,YISHUN,5 ROOM,154,YISHUN ST 11,10 TO 12,121.0,Improved,1985,482000.0,Jan2015-Dec2016 (Registration),68.0,57,6,57 years 06 months,key_duplicate,
2015-04-01,JURONG WEST,5 ROOM,648A,JURONG WEST ST 61,04 TO 06,110.0,Improved,2001,442000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-04-01,TAMPINES,5 ROOM,518D,TAMPINES CTRL 7,10 TO 12,109.0,Dbss,2008,682000.0,Jan2015-Dec2016 (Registration),92.0,80,6,80 years 06 months,key_duplicate,
2015-04-01,TOA PAYOH,3 ROOM,5,UPP ALJUNIED LANE,04 TO 06,57.0,Standard,1968,275000.0,Jan2015-Dec2016 (Registration),52.0,40,6,40 years 06 months,key_duplicate,
2015-04-01,TOA PAYOH,3 ROOM,9,LOR 7 TOA PAYOH,07 TO 09,66.0,Improved,1970,275000.0,Jan2015-Dec2016 (Registration),54.0,42,6,42 years 06 months,key_duplicate,
2015-04-01,TOA PAYOH,2 ROOM,120,LOR 2 TOA PAYOH,01 TO 03,40.0,Standard,1968,245000.0,Jan2015-Dec2016 (Registration),52.0,40,6,40 years 06 months,key_duplicate,
2015-04-01,BUKIT MERAH,3 ROOM,22,HAVELOCK RD,04 TO 06,64.0,Standard,1969,376000.0,Jan2015-Dec2016 (Registration),53.0,41,6,41 years 06 months,key_duplicate,
2015-04-01,BUKIT BATOK,3 ROOM,224,BT BATOK ST 21,04 TO 06,67.0,New Generation,1984,300000.0,Jan2015-Dec2016 (Registration),68.0,56,6,56 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,301,ANG MO KIO AVE 3,10 TO 12,88.0,New Generation,1978,445000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1978,380000.0,Jan2015-Dec2016 (Registration),62.0,50,6,50 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,348,ANG MO KIO AVE 3,07 TO 09,73.0,New Generation,1978,375000.0,Jan2015-Dec2016 (Registration),62.0,50,6,50 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,278000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,268000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,key_duplicate,
2015-04-01,BEDOK,4 ROOM,701,BEDOK RESERVOIR RD,10 TO 12,93.0,New Generation,1980,400000.0,Jan2015-Dec2016 (Registration),64.0,52,6,52 years 06 months,key_duplicate,
2015-04-01,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,10 TO 12,68.0,New Generation,1980,295000.0,Jan2015-Dec2016 (Registration),64.0,52,6,52 years 06 months,key_duplicate,
2015-04-01,HOUGANG,EXECUTIVE,705,HOUGANG AVE 2,10 TO 12,148.0,Maisonette,1986,615000.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,key_duplicate,
2015-04-01,HOUGANG,4 ROOM,680,HOUGANG AVE 8,04 TO 06,84.0,Simplified,1987,358000.0,Jan2015-Dec2016 (Registration),70.0,59,6,59 years 06 months,key_duplicate,
2015-04-01,JURONG WEST,4 ROOM,617,JURONG WEST ST 65,04 TO 06,90.0,Model A2,2000,369000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,key_duplicate,
2015-04-01,CLEMENTI,3 ROOM,714,CLEMENTI WEST ST 2,10 TO 12,67.0,New Generation,1980,300000.0,Jan2015-Dec2016 (Registration),64.0,52,6,52 years 06 months,key_duplicate,
2015-04-01,CLEMENTI,4 ROOM,512,WEST COAST DR,07 TO 09,91.0,New Generation,1978,431000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-05-01,SENGKANG,4 ROOM,249,COMPASSVALE RD,04 TO 06,85.0,Model A2,2000,363000.0,Jan2015-Dec2016 (Registration),84.0,72,6,72 years 06 months,key_duplicate,
2015-05-01,SENGKANG,4 ROOM,439A,SENGKANG WEST AVE,10 TO 12,94.0,Model A,2011,400000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-05-01,SENGKANG,4 ROOM,439A,SENGKANG WEST AVE,16 TO 18,94.0,Model A,2011,432000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-05-01,QUEENSTOWN,4 ROOM,23,DOVER CRES,04 TO 06,88.0,Improved,1976,470000.0,Jan2015-Dec2016 (Registration),60.0,48,6,48 years 06 months,key_duplicate,
2015-05-01,PASIR RIS,EXECUTIVE,129,PASIR RIS ST 11,04 TO 06,146.0,Maisonette,1988,575000.0,Jan2015-Dec2016 (Registration),72.0,60,6,60 years 06 months,key_duplicate,
2015-05-01,TAMPINES,3 ROOM,201D,TAMPINES ST 21,01 TO 03,82.0,New Generation,1987,320000.0,Jan2015-Dec2016 (Registration),71.0,59,6,59 years 06 months,key_duplicate,
2015-05-01,TOA PAYOH,4 ROOM,214,LOR 8 TOA PAYOH,07 TO 09,82.0,Improved,1975,363000.0,Jan2015-Dec2016 (Registration),59.0,47,6,47 years 06 months,key_duplicate,
2015-05-01,TOA PAYOH,3 ROOM,232,LOR 8 TOA PAYOH,07 TO 09,65.0,Improved,1976,295000.0,Jan2015-Dec2016 (Registration),60.0,48,6,48 years 06 months,key_duplicate,
2015-05-01,BUKIT PANJANG,4 ROOM,436,FAJAR RD,10 TO 12,104.0,Model A,1989,333000.0,Jan2015-Dec2016 (Registration),73.0,61,6,61 years 06 months,key_duplicate,
2015-05-01,BEDOK,3 ROOM,409,BEDOK NTH AVE 2,07 TO 09,68.0,New Generation,1980,340000.0,Jan2015-Dec2016 (Registration),63.0,52,6,52 years 06 months,key_duplicate,
2015-05-01,JURONG WEST,3 ROOM,122,YUAN CHING RD,07 TO 09,61.0,Improved,1974,250000.0,Jan2015-Dec2016 (Registration),58.0,46,6,46 years 06 months,key_duplicate,
2015-05-01,HOUGANG,5 ROOM,653,HOUGANG AVE 8,04 TO 06,120.0,Improved,1987,485000.0,Jan2015-Dec2016 (Registration),71.0,59,6,59 years 06 months,key_duplicate,
2015-05-01,JURONG WEST,5 ROOM,652B,JURONG WEST ST 61,16 TO 18,110.0,Improved,2002,475000.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-05-01,JURONG WEST,5 ROOM,659B,JURONG WEST ST 65,04 TO 06,110.0,Improved,2001,440000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-05-01,JURONG WEST,3 ROOM,501,JURONG WEST ST 51,01 TO 03,74.0,Model A,1986,304000.0,Jan2015-Dec2016 (Registration),69.0,58,6,58 years 06 months,key_duplicate,
2015-05-01,CLEMENTI,4 ROOM,358,CLEMENTI AVE 2,07 TO 09,92.0,New Generation,1978,540000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-05-01,GEYLANG,4 ROOM,49,JLN TIGA,07 TO 09,93.0,Model A,2005,638000.0,Jan2015-Dec2016 (Registration),88.0,77,6,77 years 06 months,key_duplicate,
2015-06-01,PUNGGOL,5 ROOM,652,PUNGGOL CTRL,04 TO 06,110.0,Premium Apartment,2005,430000.0,Jan2015-Dec2016 (Registration),88.0,77,6,77 years 06 months,key_duplicate,
2015-06-01,PUNGGOL,5 ROOM,173A,PUNGGOL FIELD,07 TO 09,110.0,Improved,2003,425000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-06-01,JURONG WEST,EXECUTIVE,666B,JURONG WEST ST 65,01 TO 03,130.0,Apartment,2000,450000.0,Jan2015-Dec2016 (Registration),83.0,72,6,72 years 06 months,key_duplicate,
2015-06-01,JURONG WEST,5 ROOM,659C,JURONG WEST ST 65,07 TO 09,110.0,Improved,2001,458000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-06-01,KALLANG/WHAMPOA,4 ROOM,107,TOWNER RD,13 TO 15,105.0,Model A,1983,610000.0,Jan2015-Dec2016 (Registration),66.0,55,6,55 years 06 months,key_duplicate,
2015-06-01,WOODLANDS,3 ROOM,23,MARSILING DR,01 TO 03,67.0,New Generation,1977,255000.0,Jan2015-Dec2016 (Registration),61.0,49,6,49 years 06 months,key_duplicate,
2015-06-01,YISHUN,3 ROOM,210,YISHUN ST 21,07 TO 09,67.0,New Generation,1985,305000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-06-01,TOA PAYOH,3 ROOM,203,TOA PAYOH NTH,04 TO 06,65.0,Improved,1982,302000.0,Jan2015-Dec2016 (Registration),65.0,54,6,54 years 06 months,key_duplicate,
2015-06-01,TOA PAYOH,3 ROOM,18,LOR 7 TOA PAYOH,07 TO 09,67.0,Improved,1970,315000.0,Jan2015-Dec2016 (Registration),54.0,42,6,42 years 06 months,key_duplicate,
2015-06-01,BUKIT BATOK,EXECUTIVE,542,BT BATOK ST 52,07 TO 09,146.0,Maisonette,1986,615000.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,key_duplicate,
2015-06-01,BISHAN,4 ROOM,267,BISHAN ST 24,04 TO 06,104.0,Model A,1992,530000.0,Jan2015-Dec2016 (Registration),76.0,64,6,64 years 06 months,key_duplicate,
2015-06-01,BUKIT MERAH,3 ROOM,1,TELOK BLANGAH CRES,04 TO 06,66.0,Improved,1983,320000.0,Jan2015-Dec2016 (Registration),66.0,55,6,55 years 06 months,key_duplicate,
2015-06-01,ANG MO KIO,4 ROOM,344,ANG MO KIO AVE 3,07 TO 09,98.0,New Generation,1978,590000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-06-01,BEDOK,3 ROOM,503,BEDOK NTH ST 3,04 TO 06,59.0,Improved,1978,267500.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-06-01,BEDOK,3 ROOM,39,BEDOK STH RD,10 TO 12,67.0,New Generation,1978,313000.0,Jan2015-Dec2016 (Registration),62.0,50,6,50 years 06 months,key_duplicate,
2015-06-01,BEDOK,3 ROOM,410,BEDOK NTH AVE 2,04 TO 06,68.0,New Generation,1980,340000.0,Jan2015-Dec2016 (Registration),63.0,52,6,52 years 06 months,key_duplicate,
2015-06-01,JURONG EAST,3 ROOM,44,TEBAN GDNS RD,07 TO 09,68.0,New Generation,1985,283000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-06-01,JURONG WEST,4 ROOM,466,JURONG WEST ST 41,04 TO 06,91.0,New Generation,1985,368000.0,Jan2015-Dec2016 (Registration),68.0,57,6,57 years 06 months,key_duplicate,
2015-06-01,JURONG WEST,3 ROOM,209,BOON LAY PL,01 TO 03,65.0,Improved,1976,228000.0,Jan2015-Dec2016 (Registration),59.0,48,6,48 years 06 months,key_duplicate,
2015-06-01,CLEMENTI,3 ROOM,608,CLEMENTI WEST ST 1,01 TO 03,67.0,New Generation,1979,305000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,key_duplicate,
2015-06-01,GEYLANG,3 ROOM,99,OLD AIRPORT RD,07 TO 09,56.0,Standard,1969,320000.0,Jan2015-Dec2016 (Registration),52.0,41,6,41 years 06 months,key_duplicate,
2015-06-01,HOUGANG,3 ROOM,642,HOUGANG AVE 8,07 TO 09,60.0,Improved,1987,265000.0,Jan2015-Dec2016 (Registration),71.0,59,6,59 years 06 months,key_duplicate,
2015-07-01,SENGKANG,4 ROOM,439B,SENGKANG WEST AVE,04 TO 06,94.0,Model A,2011,380000.0,Jan2015-Dec2016 (Registration),94.0,83,6,83 years 06 months,key_duplicate,
2015-07-01,SENGKANG,4 ROOM,308A,ANCHORVALE RD,04 TO 06,90.0,Model A,2002,350000.0,Jan2015-Dec2016 (Registration),85.0,74,6,74 years 06 months,key_duplicate,
2015-07-01,QUEENSTOWN,4 ROOM,28B,DOVER CRES,22 TO 24,88.0,Model A,2012,680000.0,Jan2015-Dec2016 (Registration),95.0,84,6,84 years 06 months,key_duplicate,
2015-07-01,SENGKANG,5 ROOM,200A,SENGKANG EAST RD,13 TO 15,110.0,Improved,2001,460000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-07-01,SENGKANG,EXECUTIVE,306B,ANCHORVALE LINK,07 TO 09,125.0,Apartment,2001,500000.0,Jan2015-Dec2016 (Registration),85.0,73,6,73 years 06 months,key_duplicate,
2015-07-01,SENGKANG,4 ROOM,272C,SENGKANG CTRL,04 TO 06,90.0,Premium Apartment,2009,502000.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,key_duplicate,
2015-07-01,SENGKANG,4 ROOM,272C,SENGKANG CTRL,04 TO 06,90.0,Premium Apartment,2009,498888.0,Jan2015-Dec2016 (Registration),93.0,81,6,81 years 06 months,key_duplicate,
2015-07-01,YISHUN,4 ROOM,390,YISHUN AVE 6,10 TO 12,104.0,Model A,1988,348000.0,Jan2015-Dec2016 (Registration),72.0,60,6,60 years 06 months,key_duplicate,
2015-07-01,ANG MO KIO,3 ROOM,561,ANG MO KIO AVE 10,13 TO 15,82.0,New Generation,1980,380000.0,Jan2015-Dec2016 (Registration),63.0,52,6,52 years 06 months,key_duplicate,
2015-07-01,BEDOK,3 ROOM,542,BEDOK NTH ST 3,10 TO 12,67.0,New Generation,1985,280000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-07-01,CHOA CHU KANG,5 ROOM,686A,CHOA CHU KANG CRES,07 TO 09,110.0,Improved,2002,402888.0,Jan2015-Dec2016 (Registration),86.0,74,6,74 years 06 months,key_duplicate,
2015-07-01,CHOA CHU KANG,5 ROOM,690D,CHOA CHU KANG CRES,13 TO 15,110.0,Improved,2003,390000.0,Jan2015-Dec2016 (Registration),87.0,75,6,75 years 06 months,key_duplicate,
2015-07-01,GEYLANG,2 ROOM,63,CIRCUIT RD,01 TO 03,44.0,Standard,1967,215000.0,Jan2015-Dec2016 (Registration),50.0,39,6,39 years 06 months,key_duplicate,
2015-07-01,GEYLANG,4 ROOM,848,SIMS AVE,01 TO 03,83.0,Simplified,1985,500000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-08-01,SEMBAWANG,4 ROOM,485,ADMIRALTY LINK,07 TO 09,85.0,Model A2,2003,335000.0,Jan2015-Dec2016 (Registration),86.0,75,6,75 years 06 months,key_duplicate,
2015-08-01,KALLANG/WHAMPOA,3 ROOM,44,BENDEMEER RD,10 TO 12,63.0,Standard,1981,295000.0,Jan2015-Dec2016 (Registration),64.0,53,6,53 years 06 months,key_duplicate,
2015-08-01,QUEENSTOWN,3 ROOM,89,C'WEALTH DR,07 TO 09,60.0,Standard,1967,320000.0,Jan2015-Dec2016 (Registration),50.0,39,6,39 years 06 months,key_duplicate,
2015-08-01,WOODLANDS,4 ROOM,607,WOODLANDS RING RD,01 TO 03,101.0,Model A,1998,332000.0,Jan2015-Dec2016 (Registration),81.0,70,6,70 years 06 months,key_duplicate,
2015-08-01,WOODLANDS,4 ROOM,8,MARSILING DR,10 TO 12,88.0,Improved,1976,300000.0,Jan2015-Dec2016 (Registration),59.0,48,6,48 years 06 months,key_duplicate,
2015-08-01,TAMPINES,4 ROOM,422,TAMPINES ST 41,04 TO 06,104.0,Model A,1985,420000.0,Jan2015-Dec2016 (Registration),69.0,57,6,57 years 06 months,key_duplicate,
2015-08-01,BUKIT BATOK,4 ROOM,336,BT BATOK ST 32,04 TO 06,84.0,Simplified,1986,336800.0,Jan2015-Dec2016 (Registration),70.0,58,6,58 years 06 months,key_duplicate,
2015-08-01,BEDOK,3 ROOM,4,BEDOK STH AVE 1,01 TO 03,65.0,Improved,1976,290000.0,Jan2015-Dec2016 (Registration),59.0,48,6,48 years 06 months,key_duplicate,
2015-08-01,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,314000.0,Jan2015-Dec2016 (Registration),63.0,51,6,51 years 06 months,key_duplicate,
2015-08-01,ANG MO KIO,3 ROOM,473,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1984,308000.0,Jan2015-Dec2016 (Registration),67.0,56,6,56 years 06 months,key_duplicate,
2015-08-01,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,10 TO 12,73.0,New Generation,1978,355000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-08-01,BEDOK,4 ROOM,64,NEW UPP CHANGI RD,04 TO 06,92.0,New Generation,1978,410000.0,Jan2015-Dec2016 (Registration),61.0,50,6,50 years 06 months,key_duplicate,
2015-08-01,BEDOK,5 ROOM,414,BEDOK NTH AVE 2,13 TO 15,119.0,Improved,1978,630000.0,Jan2015-Dec2016 (Registration),62.0,50,6,50 years 06 months,key_duplicate,
2015-08-01,BEDOK,5 ROOM,417,BEDOK NTH AVE 2,01 TO 03,119.0,Improved,1978,578000.0,Jan2015-Dec2016 (Registration),62.0,50,6,50 years 06 months,key_duplicate,
